     x        u       v
   0.0010000000    0.017882392   0.0089502117
   0.0020000000    0.026724583    0.017801417
   0.0030000000    0.035468754    0.026554603
   0.0040000000    0.044115880    0.035210742
   0.0050000000    0.052666928    0.043770802
   0.0060000000    0.061122852    0.052235739
   0.0070000000    0.069484600    0.060606498
   0.0080000000    0.077753109    0.068884017
   0.0090000000    0.085929306    0.077069223
    0.010000000    0.094014110    0.085163036
    0.011000000     0.10200843    0.093166364
    0.012000000     0.10991317     0.10108011
    0.013000000     0.11772921     0.10890516
    0.014000000     0.12545745     0.11664240
    0.015000000     0.13309875     0.12429270
    0.016000000     0.14065398     0.13185694
    0.017000000     0.14812399     0.13933596
    0.018000000     0.15550964     0.14673061
    0.019000000     0.16281176     0.15404173
    0.020000000     0.17003118     0.16127015
    0.021000000     0.17716873     0.16841671
    0.022000000     0.18422523     0.17548220
    0.023000000     0.19120147     0.18246744
    0.024000000     0.19809826     0.18937323
    0.025000000     0.20491638     0.19620035
    0.026000000     0.21165663     0.20294959
    0.027000000     0.21831977     0.20962173
    0.028000000     0.22490657     0.21621753
    0.029000000     0.23141779     0.22273775
    0.030000000     0.23785419     0.22918314
    0.031000000     0.24421651     0.23555445
    0.032000000     0.25050548     0.24185242
    0.033000000     0.25672183     0.24807776
    0.034000000     0.26286630     0.25423122
    0.035000000     0.26893958     0.26031350
    0.036000000     0.27494240     0.26632531
    0.037000000     0.28087545     0.27226735
    0.038000000     0.28673943     0.27814032
    0.039000000     0.29253502     0.28394490
    0.040000000     0.29826290     0.28968177
    0.041000000     0.30392376     0.29535161
    0.042000000     0.30951824     0.30095509
    0.043000000     0.31504703     0.30649286
    0.044000000     0.32051076     0.31196558
    0.045000000     0.32591009     0.31737389
    0.046000000     0.33124565     0.32271844
    0.047000000     0.33651809     0.32799987
    0.048000000     0.34172803     0.33321879
    0.049000000     0.34687609     0.33837583
    0.050000000     0.35196288     0.34347161
    0.051000000     0.35698903     0.34850674
    0.052000000     0.36195512     0.35348181
    0.053000000     0.36686176     0.35839744
    0.054000000     0.37170954     0.36325420
    0.055000000     0.37649905     0.36805269
    0.056000000     0.38123086     0.37279348
    0.057000000     0.38590555     0.37747715
    0.058000000     0.39052369     0.38210427
    0.059000000     0.39508584     0.38667539
    0.060000000     0.39959255     0.39119109
    0.061000000     0.40404439     0.39565190
    0.062000000     0.40844189     0.40005838
    0.063000000     0.41278559     0.40441106
    0.064000000     0.41707603     0.40871048
    0.065000000     0.42131375     0.41295717
    0.066000000     0.42549926     0.41715166
    0.067000000     0.42963309     0.42129446
    0.068000000     0.43371574     0.42538609
    0.069000000     0.43774774     0.42942706
    0.070000000     0.44172957     0.43341787
    0.071000000     0.44566175     0.43735903
    0.072000000     0.44954477     0.44125101
    0.073000000     0.45337910     0.44509432
    0.074000000     0.45716525     0.44888944
    0.075000000     0.46090369     0.45263685
    0.076000000     0.46459489     0.45633702
    0.077000000     0.46823932     0.45999043
    0.078000000     0.47183745     0.46359753
    0.079000000     0.47538974     0.46715879
    0.080000000     0.47889665     0.47067467
    0.081000000     0.48235862     0.47414561
    0.082000000     0.48577611     0.47757207
    0.083000000     0.48914955     0.48095448
    0.084000000     0.49247939     0.48429329
    0.085000000     0.49576606     0.48758893
    0.086000000     0.49900998     0.49084182
    0.087000000     0.50221160     0.49405240
    0.088000000     0.50537131     0.49722108
    0.089000000     0.50848955     0.50034829
    0.090000000     0.51156672     0.50343443
    0.091000000     0.51460323     0.50647991
    0.092000000     0.51759950     0.50948514
    0.093000000     0.52055591     0.51245051
    0.094000000     0.52347286     0.51537643
    0.095000000     0.52635075     0.51826329
    0.096000000     0.52918997     0.52111147
    0.097000000     0.53199090     0.52392137
    0.098000000     0.53475392     0.52669335
    0.099000000     0.53747941     0.52942780
     0.10000000     0.54016774     0.53212510
     0.10100000     0.54281928     0.53478561
     0.10200000     0.54543441     0.53740969
     0.10300000     0.54801347     0.53999772
